subject,k,auc,model,regime
3,1,0.8702124999999999,eegnet,within_subject
3,2,0.9380624999999999,eegnet,within_subject
3,3,0.9686125,eegnet,within_subject
3,4,0.9755312500000001,eegnet,within_subject
3,6,0.9957499999999999,eegnet,within_subject
3,8,0.9994875,eegnet,within_subject
3,10,0.9997125,eegnet,within_subject
4,1,0.8207000000000001,eegnet,within_subject
4,2,0.900175,eegnet,within_subject
4,3,0.9432312500000001,eegnet,within_subject
4,4,0.9610625,eegnet,within_subject
4,6,0.9815937499999999,eegnet,within_subject
4,8,0.9896874999999999,eegnet,within_subject
4,10,0.99645625,eegnet,within_subject
5,1,0.8773499999999999,eegnet,within_subject
5,2,0.91865625,eegnet,within_subject
5,3,0.963125,eegnet,within_subject
5,4,0.98119375,eegnet,within_subject
5,6,0.9926250000000001,eegnet,within_subject
5,8,0.9985625,eegnet,within_subject
5,10,0.9992625,eegnet,within_subject
6,1,0.8566250000000001,eegnet,within_subject
6,2,0.9404374999999999,eegnet,within_subject
6,3,0.98094375,eegnet,within_subject
6,4,0.9876812500000001,eegnet,within_subject
6,6,0.9975375000000001,eegnet,within_subject
6,8,0.9989125,eegnet,within_subject
6,10,0.9998125,eegnet,within_subject
7,1,0.8607624999999999,eegnet,within_subject
7,2,0.9400125,eegnet,within_subject
7,3,0.9692500000000001,eegnet,within_subject
7,4,0.9831000000000001,eegnet,within_subject
7,6,0.9965125,eegnet,within_subject
7,8,0.9980875,eegnet,within_subject
7,10,0.9995625,eegnet,within_subject
8,1,0.9562937499999999,eegnet,within_subject
8,2,0.9854625,eegnet,within_subject
8,3,0.9943249999999999,eegnet,within_subject
8,4,0.9983562500000001,eegnet,within_subject
8,6,0.9999625,eegnet,within_subject
8,8,1.0,eegnet,within_subject
8,10,1.0,eegnet,within_subject
1,1,0.74139375,eegnet,cross_subject
1,2,0.81889375,eegnet,cross_subject
1,3,0.89431875,eegnet,cross_subject
1,4,0.92838125,eegnet,cross_subject
1,6,0.959875,eegnet,cross_subject
1,8,0.9838375,eegnet,cross_subject
1,10,0.9856375,eegnet,cross_subject
2,1,0.7354625,eegnet,cross_subject
2,2,0.8270125,eegnet,cross_subject
2,3,0.87989375,eegnet,cross_subject
2,4,0.919625,eegnet,cross_subject
2,6,0.9544562500000001,eegnet,cross_subject
2,8,0.97373125,eegnet,cross_subject
2,10,0.98700625,eegnet,cross_subject
3,1,0.85174375,eegnet,cross_subject
3,2,0.92626875,eegnet,cross_subject
3,3,0.9510875,eegnet,cross_subject
3,4,0.96803125,eegnet,cross_subject
3,6,0.98836875,eegnet,cross_subject
3,8,0.99701875,eegnet,cross_subject
3,10,0.9995499999999999,eegnet,cross_subject
4,1,0.76019375,eegnet,cross_subject
4,2,0.838025,eegnet,cross_subject
4,3,0.89096875,eegnet,cross_subject
4,4,0.9270125,eegnet,cross_subject
4,6,0.95385625,eegnet,cross_subject
4,8,0.97474375,eegnet,cross_subject
4,10,0.9876,eegnet,cross_subject
5,1,0.81956875,eegnet,cross_subject
5,2,0.86203125,eegnet,cross_subject
5,3,0.9386187500000001,eegnet,cross_subject
5,4,0.950625,eegnet,cross_subject
5,6,0.96871875,eegnet,cross_subject
5,8,0.9912874999999999,eegnet,cross_subject
5,10,0.9941437500000001,eegnet,cross_subject
6,1,0.8000750000000001,eegnet,cross_subject
6,2,0.8758,eegnet,cross_subject
6,3,0.92758125,eegnet,cross_subject
6,4,0.9448937500000001,eegnet,cross_subject
6,6,0.9835124999999999,eegnet,cross_subject
6,8,0.98705625,eegnet,cross_subject
6,10,0.99381875,eegnet,cross_subject
7,1,0.7911,eegnet,cross_subject
7,2,0.8773999999999998,eegnet,cross_subject
7,3,0.91953125,eegnet,cross_subject
7,4,0.9485625,eegnet,cross_subject
7,6,0.98004375,eegnet,cross_subject
7,8,0.99485625,eegnet,cross_subject
7,10,0.99549375,eegnet,cross_subject
8,1,0.835475,eegnet,cross_subject
8,2,0.9398,eegnet,cross_subject
8,3,0.9602875,eegnet,cross_subject
8,4,0.98153125,eegnet,cross_subject
8,6,0.9930375000000001,eegnet,cross_subject
8,8,0.99825,eegnet,cross_subject
8,10,0.9993375,eegnet,cross_subject
